target_id	length	eff_length	est_counts	tpm
thiD|G7135|b2103|bifunctional	801	600.749	696	80.422
pal|EG10684|b0741|peptidoglycan-associated	522	323.867	1347	288.708
malS|EG11316|b3571|&alpha;-amylase	2031	1830.75	2981	113.03
frvR|EG11861|b3897|putative	1749	1548.75	1282	57.46
mepH|G6892|b1655|peptidoglycan	816	615.749	997	112.396
thiI|G6238|b0423|tRNA	1449	1248.75	1459	81.1034
ybeU|G6355|b0648|DUF1266	708	507.974	410	56.0275
holE|EG11505|b1842|DNA	231	66.614	333	347.007
uhpT|EG11054|b3666|hexose-6-phosphate:phosphate	1392	1191.75	1806	105.194
rsxC|G6873|b1629|SoxR	2223	2022.75	1732	59.4381
yahK|G6190|b0325|aldehyde	1050	849.749	0	0
thiS|G1|b4407|sulfur	201	52.1699	110	146.363
btuB|EG10126|b3966|cobalamin	1845	1644.75	1817.91	76.7239
rbsB|EG10815|b3751|ribose	891	690.749	4910.34	493.458
fimZ|EG11103|b0535|putative	633	433.249	257	41.177
ldtD|EG11253|b0925|L,D-transpeptidase	1848	1647.75	3695	155.662
panE|G6239|b0425|2-dehydropantoate	912	711.749	983	95.8706
kilS|G0-17108|b4833|Rac	98	16.1283	84	361.535
dnaG|EG10239|b3066|DNA	1746	1545.75	1718	77.1512
mdh|EG10576|b3236|malate	939	738.749	3659	343.814
nupG|EG10664|b2964|nucleoside:H<sup>+</sup>	1257	1056.75	1621	106.48
ypeD|G0-17094|b4819|protein	90	13.3161	232	1209.4
panC|EG11746|b0133|pantothenate	852	651.749	927	98.732
yfjW|G7377|b2642|CP4-57	1704	1503.75	0	0
lacY|EG10526|b0343|lactose	1254	1053.75	1352	89.0632
osmE|EG10044|b1739|osmotically-inducible	339	151.88	12763	5833.24
mepM|EG10013|b1856|peptidoglycan	1323	1122.75	1314	81.2403
coaA|EG10922|b3974|pantothenate	951	750.749	895	82.7536
naRNA2|G0-16695||naRNA2	77	10.0507	2.85931	19.748
holC|EG11413|b4259|DNA	444	248.689	541	151.008
fucA|EG10348|b2800|L-fuculose-phosphate	648	448.116	524	81.1707
ydcV|G6754|b1443|putative	795	594.749	788	91.971
pmrR|G0-10707|b4703|small	90	13.3161	7	36.4905
dfp|EG10004|b3639|fused	1221	1020.75	1669	113.5
yffR|G7279|b2449|CPZ-55	393	200.574	0	0
bglB|EG10114|b3721|6-phospho-&beta;-glucosidase	1413	1212.75	1427	81.6793
gntR|EG12630|b3438|DNA-binding	996	795.749	1438	125.442
lpoB|G6565|b1105|outer	642	442.161	740	116.174
panD|EG11747|b0131|PanD	381	189.493	585	214.3
yidD|G0-10470|b4557|membrane	258	84.7727	88	72.0585
priB|EG10764|b4201|primosomal	315	131.032	144	76.2857
aceE|EG10024|b0114|pyruvate	2664	2463.75	2679	75.4806
