strain,name,accession_number,common_name,product,b_number,cog_letter,cog_class,cog_desc
MG1655,3'ETS-<i>leuZ</i>,ECK4616,3'ETS-leuZ,small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>,b4759,Not Assigned,Not Assigned,Not Assigned
MG1655,3'ETS-leuZ,ECK4616,3'ETS-leuZ,small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>,b4759,Not Assigned,Not Assigned,Not Assigned
MG1655,C0067,,C0067,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0067,,C0067,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0293,ECK4663,C0293,e14 prophage; small regulatory RNA C0293,b4806,Not Assigned,Not Assigned,Not Assigned
MG1655,C0293,ECK4663,C0293,e14 prophage; small regulatory RNA C0293,b4806,Not Assigned,Not Assigned,Not Assigned
MG1655,C0299,,C0299,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0299,,C0299,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0362,,C0362,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0362,,C0362,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0465,,C0465,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0465,,C0465,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0614,,C0614,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0614,,C0614,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0664,,C0664,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0664,,C0664,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0719,,C0719,,,Not Assigned,Not Assigned,Not Assigned
MG1655,C0719,,C0719,,,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-198,ECB_00020,ECB_00020,GCQD-198-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00020,ECB_00020,ECB_00020,GCQD-198-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-199,ECB_00021,ECB_00021,GCQD-199-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00021,ECB_00021,ECB_00021,GCQD-199-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-200,ECB_00022,ECB_00022,GCQD-200-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00022,ECB_00022,ECB_00022,GCQD-200-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-203,ECB_00025,ECB_00025,GCQD-203-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00025,ECB_00025,ECB_00025,GCQD-203-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-204,ECB_00026,ECB_00026,GCQD-204-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00026,ECB_00026,ECB_00026,GCQD-204-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-397,ECB_00212,ECB_00212,GCQD-397-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00212,ECB_00212,ECB_00212,GCQD-397-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-451,ECB_00265,ECB_00265,GCQD-451-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00265,ECB_00265,ECB_00265,GCQD-451-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-506,ECB_00320,ECB_00320,GCQD-506-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00320,ECB_00320,ECB_00320,GCQD-506-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-562,ECB_00376,ECB_00376,GCQD-562-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00376,ECB_00376,ECB_00376,GCQD-562-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-563,ECB_00377,ECB_00377,GCQD-563-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00377,ECB_00377,ECB_00377,GCQD-563-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-564,ECB_00378,ECB_00378,GCQD-564-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00378,ECB_00378,ECB_00378,GCQD-564-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-674,ECB_00487,ECB_00487,GCQD-674-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00487,ECB_00487,ECB_00487,GCQD-674-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-675,ECB_00488,ECB_00488,GCQD-675-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00488,ECB_00488,ECB_00488,GCQD-675-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-676,ECB_00489,ECB_00489,GCQD-676-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00489,ECB_00489,ECB_00489,GCQD-676-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-677,ECB_00490,ECB_00490,GCQD-677-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00490,ECB_00490,ECB_00490,GCQD-677-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-698,ECB_00512,ECB_00512,GCQD-698-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00512,ECB_00512,ECB_00512,GCQD-698-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-699,ECB_00513,ECB_00513,GCQD-699-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,ECB_00513,ECB_00513,ECB_00513,GCQD-699-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
REL606,GCQD-700,ECB_00514,ECB_00514,GCQD-700-MONOMER,Not Assigned,Not Assigned,Not Assigned,Not Assigned
