target_id	length	eff_length	est_counts	tpm
thiD|G7135|b2103|bifunctional	801	521.224	2114	196.979
pal|EG10684|b0741|peptidoglycan-associated	522	245.024	6668	1321.68
malS|EG11316|b3571|&alpha;-amylase	2031	1751.06	888	24.6293
frvR|EG11861|b3897|putative	1749	1469.06	0	0
mepH|G6892|b1655|peptidoglycan	816	536.171	547	49.5478
thiI|G6238|b0423|tRNA	1449	1169.06	1003	41.6682
ybeU|G6355|b0648|DUF1266	708	428.368	1	0.113376
holE|EG11505|b1842|DNA	231	30.1131	181	291.919
uhpT|EG11054|b3666|hexose-6-phosphate:phosphate	1392	1112.06	377.388	16.4816
rsxC|G6873|b1629|SoxR	2223	1943.06	2826	70.636
yahK|G6190|b0325|aldehyde	1050	770.057	424	26.7413
thiS|G1|b4407|sulfur	201	23.5929	103	212.029
btuB|EG10126|b3966|cobalamin	1845	1565.06	2212	68.6427
rbsB|EG10815|b3751|ribose	891	611.057	18155.6	1443.01
fimZ|EG11103|b0535|putative	633	353.742	0	0
ldtD|EG11253|b0925|L,D-transpeptidase	1848	1568.06	1083	33.5433
panE|G6239|b0425|2-dehydropantoate	912	632.057	346	26.5864
kilS|G0-17108|b4833|Rac	98	99	0	0
dnaG|EG10239|b3066|DNA	1746	1466.06	3170	105.014
mdh|EG10576|b3236|malate	939	659.057	9928	731.608
nupG|EG10664|b2964|nucleoside:H<sup>+</sup>	1257	977.057	1710	84.9994
ypeD|G0-17094|b4819|protein	90	91	37	19.747
panC|EG11746|b0133|pantothenate	852	572.116	656	55.6877
yfjW|G7377|b2642|CP4-57	1704	1424.06	0	0
lacY|EG10526|b0343|lactose	1254	974.057	272	13.562
osmE|EG10044|b1739|osmotically-inducible	339	88.707	701	383.796
mepM|EG10013|b1856|peptidoglycan	1323	1043.06	2776	129.256
coaA|EG10922|b3974|pantothenate	951	671.057	1035	74.9067
naRNA2|G0-16695||naRNA2	77	78	0	0
holC|EG11413|b4259|DNA	444	172.932	347	97.4526
fucA|EG10348|b2800|L-fuculose-phosphate	648	368.561	262	34.5249
ydcV|G6754|b1443|putative	795	515.224	406	38.271
pmrR|G0-10707|b4703|small	90	91	7	3.73591
dfp|EG10004|b3639|fused	1221	941.057	483	24.927
yffR|G7279|b2449|CPZ-55	393	129.466	0	0
bglB|EG10114|b3721|6-phospho-&beta;-glucosidase	1413	1133.06	580	24.8608
gntR|EG12630|b3438|DNA-binding	996	716.057	427	28.9614
lpoB|G6565|b1105|outer	642	362.634	269	36.0266
panD|EG11747|b0131|PanD	381	120.479	532	214.457
yidD|G0-10470|b4557|membrane	258	41.5708	89	103.978
priB|EG10764|b4201|primosomal	315	72.3225	2956	1985.05
aceE|EG10024|b0114|pyruvate	2664	2384.06	5570	113.469
